gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
HERC5,-2.5910115691335234,8.436940731642505,-3.9217839012227014,0.00012249188760395357,0.0007561227629873678,0.6633394050472861
IL1A,2.241131507963649,2.762247234619323,3.915677956364717,0.00012539608941185095,0.0007646103012917741,0.6414766451359419
ETV7,-2.195298793531967,3.6592094550822787,-3.860042093315634,0.0001550463667423443,0.0009340142574840018,0.44360327814676115
PARP12,-1.3640119848870778,8.506262987019278,-3.85173246496775,0.0001600087645893572,0.0009524331225556976,0.41425647822225553
FASLG,-2.049398024472933,2.8590952535770215,-3.827468305348772,0.0001753753925793783,0.0010316199563492842,0.3288727469973596
DHX58,-2.179344044986726,5.481916020261927,-3.819194606420634,0.00018092765375679094,0.001051904963702273,0.29986367946419534
OAS3,-2.4730692242635883,7.828815394870926,-3.7941909422464377,0.00019873677379763022,0.00111649872920017,0.21252303296194697
STX1A,1.5264627142444966,2.863150275672238,3.750390387640123,0.00023399998726055465,0.0012999999292253035,0.06070952640021687
OASL,-1.9760970201998211,7.927458878224735,-3.738502902152215,0.00024454620476871213,0.0013436604657621545,0.01976882311431183
CD24,1.6051588207795269,8.687540964163015,3.6925337608844475,0.00028970934650164706,0.001574507317943734,-0.13749474165967612
GZMA,-1.9207003241695264,6.700562053225103,-3.6068416208928262,0.00039565835917913886,0.0020824124167323097,-0.4261532328046922
ZCCHC2,-1.3119894940122154,7.562352164067485,-3.5991157905736477,0.0004068229373185909,0.0021188694652009943,-0.4518886804355926
S100A8,1.746206104870671,14.81815868939028,3.595940838443248,0.0004114964874688708,0.002121115914787994,-0.46245080681316875
HERC6,-1.4799781613893548,6.794513524242414,-3.5915896193072343,0.0004179836517361854,0.0021325696517152317,-0.4769128374573599
SAMD9L,-1.3116472297134685,8.962717956168294,-3.5736796214546183,0.00044571250075677883,0.0022510732361453473,-0.5362791033686083
TULP2,1.612609380984821,1.2032334596390788,3.5587628849735373,0.00047011855228362633,0.002345422482366664,-0.585525946044374
